class_name	slot_group	slot_uri	name	title	range	range_2	unit	identifier	multivalued	minimum_cardinality	maximum_cardinality	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	annotations
CommunityCompositionData	General		Elymus.trachycaulus.subsecundus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Elymus.trachycaulus.trachycaulus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Equisetum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Erigeron.caespitosus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Erigeron.canadensis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Erigeron.glabellus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Eriogonum.flavum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Eriogonum.pauciflorum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Euphorbia.virgata		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Festuca.hallii		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Festuca.ovina		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Fragaria.virginiana		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Gaillardia.aristata		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Galium.boreale		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Geum.triflorum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Glycyrrhiza.lepidota		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Grindelia.squarrosa		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Gutierrezia.sarothrae		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Hairy.grass.unknown		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Hedysarum.alpinum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Helianthus.maximiliani		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Helianthus.nuttallii		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Helianthus.pauciflorus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Helictochloa.hookeri		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Hesperostipa.comata		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Hesperostipa.curtiseta		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Hesperostipa.spartea		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Heterotheca.villosa		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Heuchera.richardsonii		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Houstonia.longifolia		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Hymenoxys.richardsonii		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Iva.axillaris		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Juniperus.horizontalis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Koeleria.macrantha		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Lactuca.pulchella		decimal								True			^-?[0-9]+$					
